property_id,url,property_type,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_equipped_kitchen,has_swimming_pool,has_open_fire,property_subtype,postal_code,locality,sale_type
VBD32028,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd32028,Apartment,177500.0,2.0,55.0,nan,2.0,,,,,,,apartment,1000.0,brussels,standard
RBU38234,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbu38234,Apartment,545000.0,2.0,100.0,Normal,,0.0,1.0,,,,,apartment,1000.0,brussels,standard
VBD32248,https://immovlan.be/en/detail/studio/for-sale/1120/neder-over-heembeek/vbd32248,Apartment,149000.0,,50.0,Normal,2.0,0.0,,,,,,studio,1120.0,neder-over-heembeek,standard
VBD32299,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd32299,Apartment,195000.0,0.0,39.0,Normal,,,,,,,,apartment,1000.0,brussels,standard
VBD32297,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd32297,Apartment,670000.0,4.0,315.0,Normal,,,1.0,,,,,apartment,1000.0,brussels,standard
VBD17455,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd17455,Apartment,599000.0,2.0,145.0,nan,2.0,0.0,,,,,,apartment,1000.0,brussels,standard
RBU41085,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbu41085,Apartment,325000.0,2.0,97.0,Normal,2.0,0.0,,,,,,apartment,1000.0,brussels,standard
VBD33832,https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbd33832,Apartment,195000.0,1.0,50.0,To renovate,,0.0,,,,,,duplex,1000.0,brussels,standard
VBD34160,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd34160,Apartment,259000.0,3.0,110.0,To renovate,2.0,0.0,,,,,,apartment,1000.0,brussels,standard
VBD34161,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd34161,Apartment,259000.0,3.0,110.0,To renovate,2.0,0.0,,,,,,apartment,1020.0,laken,standard
VBD34273,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd34273,Apartment,149000.0,2.0,81.0,To renovate,2.0,0.0,,,,,,apartment,1020.0,laken,standard
VBD34509,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd34509,Apartment,695000.0,2.0,167.0,Excellent,2.0,1.0,1.0,,,,,apartment,1000.0,brussels,standard
VBD34610,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd34610,Apartment,250000.0,5.0,191.0,To be renovated,2.0,,1.0,,,,,apartment,1020.0,laken,standard
VBD34665,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd34665,Apartment,399000.0,2.0,116.0,Excellent,2.0,0.0,1.0,,,,,apartment,1000.0,brussels,standard
RBU42178,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbu42178,Apartment,385000.0,2.0,90.0,To be renovated,,0.0,1.0,,,,,apartment,1000.0,brussels,standard
VBD34872,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd34872,Apartment,745000.0,3.0,172.0,Normal,2.0,0.0,1.0,,,,,apartment,1000.0,brussels,standard
VBD34915,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd34915,Apartment,359000.0,2.0,93.0,Excellent,2.0,,1.0,,,,,apartment,1000.0,brussels,standard
RBU39091,https://immovlan.be/en/detail/studio/for-sale/1020/laken/rbu39091,Apartment,105000.0,,24.0,Normal,,0.0,1.0,,,,,studio,1020.0,laken,standard
VBD34993,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd34993,Apartment,169000.0,1.0,46.0,Fully renovated,2.0,0.0,,,,,,apartment,1020.0,laken,standard
VBD35081,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd35081,Apartment,210000.0,2.0,87.0,nan,2.0,,1.0,,,,,apartment,1020.0,laken,standard
VBD35076,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd35076,Apartment,235000.0,3.0,100.0,nan,4.0,,1.0,,,,,apartment,1020.0,laken,standard
RBU42461,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbu42461,Apartment,259000.0,2.0,70.0,Normal,2.0,1.0,,,,,,apartment,1000.0,brussels,standard
VBD35208,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd35208,Apartment,190000.0,1.0,43.0,Excellent,,1.0,,,,,,apartment,1000.0,brussels,standard
VBD35096,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd35096,Apartment,235000.0,1.0,65.0,Excellent,2.0,1.0,1.0,,,,,apartment,1000.0,brussels,standard
VBD35210,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd35210,Apartment,365000.0,2.0,96.0,Excellent,,1.0,,,,,,apartment,1000.0,brussels,standard
RBU42638,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbu42638,Apartment,325000.0,2.0,76.0,Normal,2.0,0.0,,,,,,apartment,1000.0,brussels,standard
VBD35209,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd35209,Apartment,199000.0,1.0,59.0,Excellent,,,,,,,,apartment,1000.0,brussels,standard
VBD35598,https://immovlan.be/en/detail/penthouse/for-sale/1000/brussels/vbd35598,Apartment,2659000.0,4.0,244.0,New,3.0,0.0,1.0,,,,,penthouse,1000.0,brussels,standard
VBD35599,https://immovlan.be/en/detail/penthouse/for-sale/1000/brussels/vbd35599,Apartment,1595000.0,3.0,156.0,New,3.0,0.0,1.0,,,,,penthouse,1000.0,brussels,standard
